,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
77%,60222,76200,60252,57327,75000,68510,80005,65003,100500,61700,65003,65144,58859,73938,60151,63780,64219,60354,60577,60010,81396,81710,65012,71507,53030,65008,62020,62500,60000,75000,79995,55010,76300,61758,63602,64020,60729,65337,68150,70375,60000,65505,64000,68280,65002,67100,77350,75700,58014,60280,66200
78%,62191,78162,62100,58953,75800,70020,81644,67280,104705,63672,65403,69060,60007,75029,61220,65034,65174,61994,62000,61066,83234,84505,66888,74000,55000,66397,63731,64860,60100,75272,80009,56263,79176,64029,65032,65030,62675,68126,70002,72108,60000,67353,65010,70035,66025,69564,80002,78689,60000,61600,69421
79%,65000,80394,64637,60000,79889,72253,85000,70000,107121,65008,69550,70054,61300,76144,64346,66117,68050,63672,64400,64016,86003,87058,70003,75169,56051,70000,65101,65007,62350,77081,82520,59000,80010,65162,66090,66006,63287,70104,71000,74302,62000,70000,66803,72000,68533,70500,82288,80042,60029,63152,70618
80%,65337,82072,65100,61036,80196,74625,89095,70040,110030,68000,70086,72558,63223,78576,65169,68200,70006,65279,65485,66125,90000,90000,72000,75901,59000,71090,67511,66647,65000,79479,86125,60003,82705,68169,68110,69889,64717,72640,72261,75089,64502,70099,70000,75000,71035,74000,84560,83023,61515,65542,72400
81%,68500,83612,67002,63010,84020,75840,90020,72777,112070,70018,72390,75000,65000,80101,67515,70000,71001,69509,68010,68020,91109,90730,74100,78000,60000,72802,70003,67764,65603,80450,90003,60294,85059,70057,70019,70883,66502,74605,75000,77005,65337,71020,71150,76058,73068,75037,86000,85105,64820,68502,74757
82%,70081,87237,70000,65067,87081,79000,92625,75000,116013,72030,75005,76725,66045,81349,70001,71086,74969,70020,70020,70019,95069,94864,75226,80000,60017,74685,70515,70002,69000,85000,90850,63442,88916,73780,71415,73017,70001,75346,76002,80000,67003,74015,74100,79675,75024,76855,90101,88902,65346,70014,75244
83%,72690,90450,71383,68000,90029,83013,95002,75530,120050,75017,77000,80000,69502,85015,72083,74111,76851,73027,72010,71004,98144,99017,78000,81636,61824,75620,73011,71510,70350,87000,94602,65045,90110,75200,72900,75000,71360,77160,78450,80322,70000,75488,75515,80050,76201,80002,95053,90250,68000,71000,76710
84%,75002,93098,74275,70004,93581,85848,100000,80000,122910,77185,80000,81648,73000,88427,75006,75580,80000,75003,75020,74030,100067,100047,80002,85050,65000,78088,75606,75005,72894,90003,97003,67816,92425,78690,75059,75846,75016,80000,80067,85000,70323,78000,78120,82605,78603,80113,98817,94201,70000,73262,80000
85%,77397,95672,75543,71105,97308,90003,100034,80500,125107,80000,80208,85000,75040,90475,76511,77200,80461,76623,77003,75115,103700,102294,81526,88854,66242,81000,80000,78300,75010,92203,100007,70010,97708,80144,78180,79561,77050,81400,83002,90002,73000,80050,80000,87896,80297,83324,100200,96624,71003,75060,80090
86%,80000,98940,80000,75002,100002,92605,102002,84086,128040,80500,83205,89280,78000,95000,80000,80005,85121,80024,80010,78765,109450,105675,83552,91932,69120,85000,80507,81201,77083,96859,102085,74032,100020,84015,80007,81009,80025,83702,86100,90656,75013,82359,80650,91000,85002,87000,106538,100080,74781,77072,84090
87%,81625,100636,82019,76985,101687,96360,106029,85591,133308,85000,85167,90724,80017,99511,82775,85010,88812,81632,82534,81617,112580,110075,85067,95006,70590,89032,85002,83000,80000,100001,106871,78001,101901,86042,84420,85000,83502,87152,90200,94384,76391,86009,84000,96800,87500,91795,112282,102125,75100,80001,85550
88%,85007,104260,85050,80000,107951,100702,110081,90015,140040,90000,90000,95288,84342,100610,85019,88650,94238,83500,85603,85000,115503,113001,89969,100000,74004,92800,89150,85579,81000,100113,110200,80005,105055,90136,90001,88003,88000,90251,93000,96751,80014,90018,87000,100005,90206,95299,116092,110015,78300,83635,88644
89%,88100,110850,90000,80371,114000,103003,118000,94384,147000,93020,93034,100000,87016,105291,90000,94000,98500,86049,90166,86524,120287,120026,93200,100700,75216,96720,90744,88512,85029,104288,120000,83700,110023,95090,91010,90502,92000,95029,98000,100003,85000,92640,92002,101702,94100,99064,120000,114550,80180,87000,92000
90%,94000,115557,92584,88083,120020,110000,122514,98000,150200,98881,99100,100001,91000,111015,92000,99035,101500,89018,95035,90001,125935,125002,100006,103200,79796,100167,97100,90250,90000,110067,123032,87000,118002,100052,95010,97001,98776,98669,100923,101081,86687,96356,98498,108001,100000,100316,124100,117002,89200,92002,97000
91%,100000,120003,100167,92180,125000,116092,125527,101092,155110,100674,100100,102076,94889,118024,96629,100242,107283,94169,100002,94000,130026,130674,103200,109110,83020,103162,100002,92728,91543,116110,128831,92065,121827,104100,100000,100042,100000,101255,105084,104886,90439,100034,100040,114064,104630,105516,130000,124000,94000,97020,100009
92%,104701,126714,103750,98003,131249,122030,138463,105598,166219,105550,102531,106773,100000,123477,100297,105014,115610,99444,104349,97628,136211,139331,110060,116560,85249,110000,102060,98000,96023,122000,137262,96520,130000,111721,102800,103295,102021,106250,113034,110600,98029,110052,108400,120934,110007,112000,140520,130004,100000,100023,104390
93%,115056,133019,109355,106385,141105,129512,145500,110000,176242,117062,110084,112008,101517,133023,103133,110013,122066,104370,107560,101178,145009,148501,115255,121200,90400,115012,110752,100500,100253,130100,144710,100102,136106,121001,106072,109571,110000,114615,120001,120007,100512,117957,114312,127549,115030,120040,149000,135919,102001,105000,112002
94%,121615,141152,117000,114267,150020,140040,151727,121030,188883,124585,120000,120010,108184,150000,110000,121147,132193,112593,116000,108081,150008,154090,120301,130004,100000,122066,120323,107551,106029,140587,150950,105234,148867,130000,116513,115011,115000,120004,130000,122934,107253,122217,125000,138015,120416,123500,151550,142128,110002,110700,122006
95%,130040,150337,125025,120410,160151,150060,165004,128124,205067,135000,126801,128132,115805,155008,120000,130000,140016,120100,125000,113001,153702,165701,131000,140520,101026,137999,125400,120001,111024,150025,160000,115010,152144,148002,124800,120357,123280,125169,140190,134886,116686,127000,135512,150026,136967,129002,160012,151625,120000,120025,132700
96%,138784,160010,150016,130961,179999,166002,180206,137000,223035,150000,143082,146162,135150,170002,130001,150008,150410,128508,136630,123000,166672,199648,150029,158730,116034,150012,143088,135613,127000,156519,175075,129026,173134,153704,144429,130027,135001,145015,150100,150022,130090,151005,150261,156330,150002,148252,174300,170013,126443,126200,142710
97%,156927,172500,165002,154000,200760,186714,207225,155056,245556,166010,150700,163948,154042,195577,150000,160517,161457,152134,153056,130100,180880,210000,169005,175052,127991,162145,163402,151262,153875,181502,200000,150000,205337,167854,160169,144956,152651,160063,160500,162315,149382,174387,169000,180095,160000,166058,200303,186230,150928,142717,169201
98%,200000,198020,197541,187460,240602,210000,260598,171910,298580,200363,175220,190622,188999,225325,168174,191720,202750,180002,205671,171600,200005,251081,196245,240706,173400,202050,180020,180001,180016,200534,225010,164079,250513,211474,198122,160006,200500,180363,202219,200007,175000,200010,200058,208746,190337,190002,230020,215710,169001,160170,206335
99%,274075,252030,324181,217924,321050,270017,400016,227196,387684,301270,240054,216040,282655,274999,222500,257600,242335,220359,301700,237024,264145,326914,260865,300010,237554,254000,246700,250810,249999,226016,331460,207409,346266,298034,300001,209880,330102,250050,276888,250728,250231,252715,283999,330134,233062,210037,290100,250029,220432,225451,320029
