state,year,quartile,gender,life_expectancy
ia,2009,1,female,82.219482
ia,2010,1,female,82.795746
ia,2011,1,female,83.476395
ia,2012,1,female,80.638573
ia,2013,1,female,80.936371
ia,2014,1,female,81.355644
ks,2001,1,female,82.62468
ks,2002,1,female,80.157631
ks,2003,1,female,82.804131
ks,2004,1,female,82.619171
ks,2005,1,female,82.532585
ks,2006,1,female,82.005524
ks,2007,1,female,83.462494
ks,2008,1,female,80.941696
ks,2009,1,female,81.934563
ks,2010,1,female,79.534805
ks,2011,1,female,81.255272
ks,2012,1,female,82.235428
ks,2013,1,female,80.998405
ks,2014,1,female,82.519783
ky,2001,1,female,82.75029
ky,2002,1,female,81.672089
ky,2003,1,female,80.438179
ky,2004,1,female,81.474327
ky,2005,1,female,81.185349
ky,2006,1,female,82.084618
ky,2007,1,female,83.042732
ky,2008,1,female,81.945984
ky,2009,1,female,80.940788
ky,2010,1,female,81.587166
ky,2011,1,female,81.977036
ky,2012,1,female,81.726822
ky,2013,1,female,81.903847
ky,2014,1,female,81.941711
la,2001,1,female,80.158157
la,2002,1,female,82.338318
la,2003,1,female,82.131447
la,2004,1,female,82.125114
la,2005,1,female,81.594933
la,2006,1,female,81.891869
la,2007,1,female,82.361313
la,2008,1,female,82.431686
la,2009,1,female,80.762039
la,2010,1,female,82.23764
la,2011,1,female,83.873398
la,2012,1,female,81.120552
la,2013,1,female,81.475052
la,2014,1,female,82.363602
me,2001,1,female,79.951706
me,2002,1,female,80.180412
me,2003,1,female,81.293968
me,2004,1,female,81.547356
me,2005,1,female,84.238403
me,2006,1,female,81.201035
me,2007,1,female,81.793457
me,2008,1,female,82.623741
me,2009,1,female,83.733101
me,2010,1,female,82.824226
me,2011,1,female,84.642052
me,2012,1,female,83.538902
me,2013,1,female,86.267685
me,2014,1,female,84.597153
md,2001,1,female,81.245468
md,2002,1,female,82.185326
md,2003,1,female,80.562111
md,2004,1,female,80.628891
md,2005,1,female,81.756584
md,2006,1,female,80.690598
md,2007,1,female,82.055191
md,2008,1,female,81.177162
md,2009,1,female,80.610413
md,2010,1,female,80.164688
md,2011,1,female,82.450989
md,2012,1,female,80.258461
md,2013,1,female,82.971619
md,2014,1,female,83.196037
ma,2001,1,female,81.717972
ma,2002,1,female,82.351906
ma,2003,1,female,82.210892
ma,2004,1,female,83.915596
ma,2005,1,female,83.74762
ma,2006,1,female,82.83947
ma,2007,1,female,82.900215
ma,2008,1,female,84.181229
ma,2009,1,female,83.353889
ma,2010,1,female,84.919205
ma,2011,1,female,84.441826
ma,2012,1,female,84.268677
ma,2013,1,female,85.750557
ma,2014,1,female,85.232094
mi,2001,1,female,79.234596
mi,2002,1,female,80.324501
mi,2003,1,female,80.336838
mi,2004,1,female,80.37886
mi,2005,1,female,81.021988
mi,2006,1,female,81.25489
mi,2007,1,female,81.517532
mi,2008,1,female,80.757889
mi,2009,1,female,79.355789
mi,2010,1,female,81.227737
mi,2011,1,female,80.725357
mi,2012,1,female,80.393303
mi,2013,1,female,80.62941
mi,2014,1,female,80.418671
mn,2001,1,female,80.659615
mn,2002,1,female,83.187828
mn,2003,1,female,83.18541
mn,2004,1,female,82.303871
mn,2005,1,female,83.770065
mn,2006,1,female,82.218712
mn,2007,1,female,84.445076
mn,2008,1,female,82.859787
mn,2009,1,female,81.52317
mn,2010,1,female,82.148331
mn,2011,1,female,83.649467
mn,2012,1,female,83.012161
mn,2013,1,female,82.716049
